iso3,iso3,country,disaggregation,disagg.value,region,subregion,section,environmental_impacts_land_use,environmental_impacts_freshwater_use,environmental_impacts_ghg_emissions_lifecycle,environmental_impacts_nitrogen_application,environmental_impacts_phosphorus_application,planetary_impacts_Cropland,planetary_impacts_Freshwater,planetary_impacts_Greenhouse gases,planetary_impacts_Nitrogen,planetary_impacts_Phosphorus
ALB,ALB,Albania,food.group,oils,Europe,Southern Europe,Environmental Impacts,0.632173,0.0163481,0.149281,1.37772,0.238381,13.4028,4.02884,2.03426,7.75635,10.7523
ALB,ALB,Albania,food.group,pork_poultry,Europe,Southern Europe,Environmental Impacts,0.489432,0.02306729,0.339359,2.211867,0.409375,12.53715,3.759104,9.28378,11.67933,9.38734
ALB,ALB,Albania,food.group,roots,Europe,Southern Europe,Environmental Impacts,0.131335,0.0176738,0.068609,0.133195,0.0193568,2.7513,2.50026,0.769175,3.09688,3.14934
ALB,ALB,Albania,food.group,sugar,Europe,Southern Europe,Environmental Impacts,0.0558997,0.0668319,0.0708324,1.75615,0.295337,6.21517,31.8344,1.47821,16.4057,12.7486
ARE,ARE,United Arab Emirates,food.group,beef_lamb,Asia,Western Asia,Environmental Impacts,50.34944,0.1065808,11.5967,11.76818,3.00798,12.88073,4.87577,301.409,11.23914,9.85974
ARE,ARE,United Arab Emirates,food.group,eggs,Asia,Western Asia,Environmental Impacts,1.42688,0.098721,0.968339,14.3293,2.57132,11.183,4.39894,4.41129,10.3106,7.97747
ARE,ARE,United Arab Emirates,food.group,fish,Asia,Western Asia,Environmental Impacts,0.0176472,0.0136341,0.83504,1.61138,0.366153,1.12172,0.529588,0.165136,1.50204,1.58993
ARE,ARE,United Arab Emirates,food.group,fruit_veg,Asia,Western Asia,Environmental Impacts,1.99946,2.40892,2.59116,23.3656,3.93764,16.3999,27.0957,3.73512,29.5765,23.13
ARE,ARE,United Arab Emirates,food.group,grains,Asia,Western Asia,Environmental Impacts,7.32999,0.2028,3.01307,42.193,6.59091,33.08,36.0047,4.91089,57.6354,43.435
ARE,ARE,United Arab Emirates,food.group,legumes,Asia,Western Asia,Environmental Impacts,4.87275,0.323896,0.602668,0.0143975,0.0477431,21.4431,13.1224,1.68439,0.0550369,0.265136
ARE,ARE,United Arab Emirates,food.group,milk,Asia,Western Asia,Environmental Impacts,21.5189,0.0341784,2.32497,3.84405,1.24762,6.57758,2.04268,15.1431,4.83237,5.29054
ARE,ARE,United Arab Emirates,food.group,nuts_seeds,Asia,Western Asia,Environmental Impacts,0.858149,0.00771876,0.362456,13.2295,1.88187,5.54641,2.96409,1.02281,2.60076,2.10949
ARE,ARE,United Arab Emirates,food.group,oils,Asia,Western Asia,Environmental Impacts,2.34196,0.0475447,0.987398,5.09063,1.71332,10.6271,3.17447,1.69804,6.20762,8.5423
ARE,ARE,United Arab Emirates,food.group,pork_poultry,Asia,Western Asia,Environmental Impacts,5.66376,0.157088849,4.71685,30.570719,7.1495922,34.922167,12.8592898,14.815234,34.038521,27.762367
ARE,ARE,United Arab Emirates,food.group,roots,Asia,Western Asia,Environmental Impacts,0.219184,0.0156131,0.144245,0.532652,0.101807,0.743284,0.675462,0.207798,0.836644,0.850817
ARE,ARE,United Arab Emirates,food.group,sugar,Asia,Western Asia,Environmental Impacts,1.50254,0.417745,1.31672,10.4657,1.74379,6.9887,35.7964,1.66219,18.4475,14.3353
ARG,ARG,Argentina,food.group,beef_lamb,Latin America and the Caribbean,South America,Environmental Impacts,1151.8229,0.1714329,348.09645,21.90645,5.665168,23.48001,7.85315,762.5735,21.19325,19.20397
ARG,ARG,Argentina,food.group,eggs,Latin America and the Caribbean,South America,Environmental Impacts,6.38108,0.121952,3.04517,20.7347,4.24869,13.5019,5.31112,5.32603,12.4486,9.63171
ARG,ARG,Argentina,food.group,fish,Latin America and the Caribbean,South America,Environmental Impacts,0.0122354,0.00309367,1.40368,0.262485,0.0642526,0.22678,0.124023,0.0359969,0.271196,0.307814
ARG,ARG,Argentina,food.group,fruit_veg,Latin America and the Caribbean,South America,Environmental Impacts,4.61198,2.90301,6.57524,26.4208,4.62492,13.0942,23.2677,2.88911,23.3715,18.0694
ARG,ARG,Argentina,food.group,grains,Latin America and the Caribbean,South America,Environmental Impacts,30.328,0.295342,9.35176,100.871,21.1147,35.5573,36.5732,5.15116,60.8476,45.825
ARG,ARG,Argentina,food.group,legumes,Latin America and the Caribbean,South America,Environmental Impacts,1.28851,0.0791825,0.165652,0.65511,0.705222,2.1725,1.33537,0.170922,0.00119645,0.00576383
ARG,ARG,Argentina,food.group,milk,Latin America and the Caribbean,South America,Environmental Impacts,60.6129,0.212149,34.3838,24.3432,7.18659,27.7939,8.63144,63.9878,20.4194,22.3554
ARG,ARG,Argentina,food.group,nuts_seeds,Latin America and the Caribbean,South America,Environmental Impacts,0.462901,0.0119793,0.19144,0.635937,0.121999,0.331723,0.177278,0.0611728,0.155548,0.126166
ARG,ARG,Argentina,food.group,oils,Latin America and the Caribbean,South America,Environmental Impacts,9.16642,0.28185,2.68452,9.9906,2.56593,17.0779,5.12636,2.62269,9.9039,13.7067
ARG,ARG,Argentina,food.group,pork_poultry,Latin America and the Caribbean,South America,Environmental Impacts,19.93153,0.572368,20.62988,76.843,18.05127,48.274,15.58681,30.6027,45.6724,36.89752
ARG,ARG,Argentina,food.group,roots,Latin America and the Caribbean,South America,Environmental Impacts,2.30993,0.245982,1.16254,7.8654,2.14085,2.72941,2.48036,0.763054,3.07223,3.12428
ARG,ARG,Argentina,food.group,sugar,Latin America and the Caribbean,South America,Environmental Impacts,2.71761,5.05622,6.77433,17.5267,2.55083,7.90041,40.4662,1.87903,20.8541,16.2054
ARM,ARM,Armenia,food.group,beef_lamb,Asia,Western Asia,Environmental Impacts,6.81917,0.02633245,1.797059,0.808576,0.1554867,10.27805,3.566613,307.2365,9.18911,8.25286
ARM,ARM,Armenia,food.group,eggs,Asia,Western Asia,Environmental Impacts,0.216172,0.0211651,0.148719,0.533368,0.0790803,9.68744,3.81066,3.82135,8.93172,6.91061
ARM,ARM,Armenia,food.group,fish,Asia,Western Asia,Environmental Impacts,0.0263148,0.00116869,0.069996,0.0979454,0.0192974,0.624635,0.291627,0.0895104,0.846446,0.890436
ARM,ARM,Armenia,food.group,fruit_veg,Asia,Western Asia,Environmental Impacts,0.567385,0.295261,0.74085,5.17219,0.908706,28.5112,40.5927,6.26528,50.305,39.7921
ARM,ARM,Armenia,food.group,grains,Asia,Western Asia,Environmental Impacts,1.17304,0.210993,0.592425,7.30811,1.07032,47.0935,49.6513,6.83946,79.466,59.9823
ARM,ARM,Armenia,food.group,legumes,Asia,Western Asia,Environmental Impacts,,0.00410804,,6.50E-05,0.000205159,1.98803,1.22184,0.156403,0.00119645,0.00576383
ARM,ARM,Armenia,food.group,milk,Asia,Western Asia,Environmental Impacts,5.21617,0.023175,1.6617,0.619167,0.123995,38.4667,11.9459,88.559,28.2604,30.9399
ARM,ARM,Armenia,food.group,nuts_seeds,Asia,Western Asia,Environmental Impacts,0.0330119,0.00287358,0.00645863,0.0207632,0.00295826,1.34679,0.719749,0.248362,0.631523,0.512232
ARM,ARM,Armenia,food.group,oils,Asia,Western Asia,Environmental Impacts,0.402833,0.00663242,0.0966091,1.01706,0.187354,11.0644,3.30992,1.7474,6.44917,8.88975
ARM,ARM,Armenia,food.group,pork_poultry,Asia,Western Asia,Environmental Impacts,0.504124,0.0232608,0.401099,1.891386,0.3920351,18.12504,5.64488,12.44911,17.01751,13.71349
ARM,ARM,Armenia,food.group,roots,Asia,Western Asia,Environmental Impacts,0.0927912,0.0195,0.0518926,0.0974662,0.0136274,1.96999,1.79024,0.550746,2.21743,2.255
ARM,ARM,Armenia,food.group,sugar,Asia,Western Asia,Environmental Impacts,0.308702,0.0713058,0.214137,1.82446,0.305187,8.77505,44.9462,2.08705,23.1628,17.9994
ATG,ATG,Antigua and Barbuda,food.group,beef_lamb,Latin America and the Caribbean,Caribbean,Environmental Impacts,,,,,,4.33093,1.519307,126.0791,3.860877,3.458017
ATG,ATG,Antigua and Barbuda,food.group,eggs,Latin America and the Caribbean,Caribbean,Environmental Impacts,,,,,,2.5962,1.02124,1.02411,2.39367,1.85202
ATG,ATG,Antigua and Barbuda,food.group,fish,Latin America and the Caribbean,Caribbean,Environmental Impacts,,,,,,2.28729,1.20999,0.348844,2.82892,3.14743
ATG,ATG,Antigua and Barbuda,food.group,fruit_veg,Latin America and the Caribbean,Caribbean,Environmental Impacts,,,,,,20.9995,34.5725,3.77022,34.0547,25.7076
ATG,ATG,Antigua and Barbuda,food.group,grains,Latin America and the Caribbean,Caribbean,Environmental Impacts,,,,,,22.0709,23.3404,3.21766,37.5324,28.3136
ATG,ATG,Antigua and Barbuda,food.group,legumes,Latin America and the Caribbean,Caribbean,Environmental Impacts,,,,,,2.48224,1.48263,0.193315,0.0335007,0.161387
ATG,ATG,Antigua and Barbuda,food.group,milk,Latin America and the Caribbean,Caribbean,Environmental Impacts,,,,,,7.69368,2.38929,17.7126,5.65234,6.18825
ATG,ATG,Antigua and Barbuda,food.group,nuts_seeds,Latin America and the Caribbean,Caribbean,Environmental Impacts,,,,,,1.10132,0.588563,0.203094,0.516418,0.41887
ATG,ATG,Antigua and Barbuda,food.group,oils,Latin America and the Caribbean,Caribbean,Environmental Impacts,,,,,,11.6217,3.48704,1.79115,6.74402,9.32877
ATG,ATG,Antigua and Barbuda,food.group,pork_poultry,Latin America and the Caribbean,Caribbean,Environmental Impacts,,,,,,53.74969,18.55662,28.51581,51.61083,41.89501
ATG,ATG,Antigua and Barbuda,food.group,roots,Latin America and the Caribbean,Caribbean,Environmental Impacts,,,,,,1.06595,0.968686,0.298005,1.19984,1.22016
ATG,ATG,Antigua and Barbuda,food.group,sugar,Latin America and the Caribbean,Caribbean,Environmental Impacts,,,,,,8.74304,44.7822,2.07944,23.0783,17.9338
AUS,AUS,Australia,food.group,beef_lamb,Oceania,Australia and New Zealand,Environmental Impacts,2024.805,0.467622,180.0646,24.33815,8.32055,18.59265,6.71952,500.645,16.44024,14.61069
AUS,AUS,Australia,food.group,eggs,Oceania,Australia and New Zealand,Environmental Impacts,1.84201,0.654082,1.3691,40.3366,14.3038,7.03242,2.76628,2.77404,6.48382,5.01664
AUS,AUS,Australia,food.group,fish,Oceania,Australia and New Zealand,Environmental Impacts,0.808742,0.0199277,4.62708,5.10405,1.36964,1.2134,0.628605,0.184082,1.52412,1.67903
AUS,AUS,Australia,food.group,fruit_veg,Oceania,Australia and New Zealand,Environmental Impacts,4.20625,1.72916,4.76357,46.2958,13.7193,14.0679,22.3421,3.05809,24.8101,19.3833
AUS,AUS,Australia,food.group,grains,Oceania,Australia and New Zealand,Environmental Impacts,24.3202,0.246241,3.17228,62.9368,23.0277,25.5754,26.4773,3.69518,43.2191,32.594
AUS,AUS,Australia,food.group,legumes,Oceania,Australia and New Zealand,Environmental Impacts,2.81681,0.0747283,0.273581,0.0499593,0.165669,1.44777,0.772149,0.108508,0.0885376,0.426524
AUS,AUS,Australia,food.group,milk,Oceania,Australia and New Zealand,Environmental Impacts,492.603,0.643245,40.1585,36.2011,11.4293,38.9532,12.097,89.679,28.6178,31.3311
AUS,AUS,Australia,food.group,nuts_seeds,Oceania,Australia and New Zealand,Environmental Impacts,1.4568,0.0551545,0.18867,43.513,9.94114,5.06209,2.70526,0.933497,2.37366,1.92529
AUS,AUS,Australia,food.group,oils,Oceania,Australia and New Zealand,Environmental Impacts,16.858,0.235914,5.10172,93.8032,21.2385,25.1626,7.22459,5.26189,15.5387,20.471
AUS,AUS,Australia,food.group,pork_poultry,Oceania,Australia and New Zealand,Environmental Impacts,76.0567,3.04079,19.40181,219.389,75.8442,62.4963,18.94025,45.3469,58.3472,46.931
AUS,AUS,Australia,food.group,roots,Oceania,Australia and New Zealand,Environmental Impacts,1.5444,0.0500476,0.706206,9.64663,2.09118,2.81238,2.55576,0.78625,3.16563,3.21925
AUS,AUS,Australia,food.group,sugar,Oceania,Australia and New Zealand,Environmental Impacts,2.51253,0.946663,1.29842,22.752,3.25704,9.72048,49.7887,2.31191,25.6583,19.9387
AUT,AUT,Austria,food.group,beef_lamb,Europe,Western Europe,Environmental Impacts,8.76165,0.00712308,4.853395,6.60238,0.846073,7.87668,2.722527,237.6729,7.0495,6.33747
AUT,AUT,Austria,food.group,eggs,Europe,Western Europe,Environmental Impacts,0.922058,0.0158209,0.683661,10.8181,1.3295,12.8214,5.04342,5.05757,11.8212,9.14622
AUT,AUT,Austria,food.group,fish,Europe,Western Europe,Environmental Impacts,0.342034,0.00216358,0.76667,0.489565,0.0941463,0.762194,0.370426,0.112286,1.00335,1.07379
AUT,AUT,Austria,food.group,fruit_veg,Europe,Western Europe,Environmental Impacts,1.13434,0.129041,1.31963,11.2853,2.00234,18.105,28.6685,3.49229,30.2762,23.2703
AUT,AUT,Austria,food.group,grains,Europe,Western Europe,Environmental Impacts,3.90976,0.0113355,1.98841,23.3421,2.11282,37.2848,32.9389,4.91579,55.9083,42.3674
AUT,AUT,Austria,food.group,legumes,Europe,Western Europe,Environmental Impacts,0.145827,0.0075644,0.064047,0.0313084,0.114375,1.9976,0.885719,0.141482,0.256041,1.23346
